,open,high,low,close,adjusted_close,volume,dividend_amount
2025-03-03,241.8100,244.0272,236.1120,238.0300,238.0300,46968450,0.0000
2025-02-28,244.9250,250.0000,230.2000,241.8400,241.8400,241760231,0.0000
2025-02-21,244.1500,248.6900,241.8400,245.5500,245.5500,166541044,0.0000
2025-02-14,229.5700,245.5500,227.2000,244.6000,244.6000,226587580,0.2500
2025-02-07,229.9900,234.0000,225.7000,227.6300,227.3803,227428164,0.0000
2025-01-31,224.0200,247.1900,223.9800,236.0000,235.7411,372790494,0.0000
2025-01-24,224.0000,227.0300,219.3800,222.7800,222.5356,277129596,0.0000
2025-01-17,233.5300,238.9600,228.0300,229.9800,229.7277,269145341,0.0000
2025-01-10,244.3100,247.3300,233.0000,236.8500,236.5902,185241327,0.0000
2025-01-03,252.2300,253.5000,241.8201,243.3600,243.0930,171023105,0.0000
2024-12-27,254.7700,260.1000,253.0600,255.5900,255.3096,133711783,0.0000
2024-12-20,247.9900,255.0000,245.6900,254.4900,254.2108,368202745,0.0000
2024-12-13,241.8300,250.8000,241.7500,248.1300,247.8578,192702674,0.0000
2024-12-06,237.2700,244.6300,237.1600,242.8400,242.5736,208286552,0.0000
2024-11-29,231.4600,237.8100,229.7400,237.3300,237.0697,198118837,0.0000
2024-11-22,225.2500,230.7199,225.1700,229.8700,229.6178,196343939,0.0000
2024-11-15,225.0000,228.8700,221.5000,225.0000,224.7532,223817755,0.0000
2024-11-08,220.9900,228.6600,219.7100,226.9600,226.7110,208083442,0.2500
2024-11-01,233.3200,234.7300,220.2700,222.9100,222.4205,248222115,0.0000
2024-10-25,234.4500,236.8500,227.7600,231.4100,230.9018,197299834,0.0000
2024-10-18,228.7000,237.4900,228.6000,235.0000,234.4839,218140974,0.0000
2024-10-11,224.5000,229.7500,221.3300,227.5500,227.0503,164894870,0.0000
2024-10-04,230.0400,233.0000,223.0200,226.8000,226.3019,222348300,0.0000
2024-09-27,227.3400,229.5200,224.0200,227.7900,227.2898,210673480,0.0000
2024-09-20,216.5400,233.0900,213.9200,228.2000,227.6989,550232897,0.0000
2024-09-13,220.8200,224.0400,216.7100,222.5000,222.0114,237622914,0.0000
2024-09-06,228.5500,229.0000,217.4800,220.8200,220.3351,178491741,0.0000
2024-08-30,226.7600,232.9200,223.8905,229.0000,228.4971,209486001,0.0000
2024-08-23,225.7200,228.3400,223.0400,226.8400,226.3418,188124897,0.0000
2024-08-16,216.0700,226.8271,215.6000,226.0500,225.5536,214898250,0.2500
2024-08-09,199.0900,216.7800,196.0000,216.2400,215.5174,342088289,0.0000
2024-08-02,216.9600,225.6000,215.7500,219.8600,219.1253,296061436,0.0000
2024-07-26,227.0100,227.7800,214.6200,217.9600,217.2317,242932215,0.0000
2024-07-19,236.4800,237.2300,222.2700,224.3100,223.5605,278397452,0.0000
2024-07-12,227.0900,233.0800,223.2500,230.5400,229.7697,287640514,0.0000
2024-07-05,212.0900,226.4500,211.9200,226.3400,225.5837,216231316,0.0000
2024-06-28,207.7200,216.0700,206.5900,210.6200,209.9162,335969485,0.0000
2024-06-21,213.3700,218.9500,207.1100,207.4900,206.7967,506265358,0.0000
2024-06-14,196.9000,220.2000,192.1500,212.4900,211.7800,635755143,0.0000
2024-06-07,192.9000,196.9400,192.5200,196.8900,196.2321,245994434,0.0000
2024-05-31,191.5100,193.0000,189.1000,192.2500,191.6076,230454285,0.0000
2024-05-24,189.3250,192.8231,186.6250,189.9800,189.3452,208652122,0.0000
2024-05-17,185.4350,191.0950,184.6200,189.8700,189.2356,288966571,0.0000
2024-05-10,182.3540,185.0900,180.4200,183.0500,182.4383,300674993,0.2500
2024-05-03,173.3700,187.0000,169.1100,183.3800,182.5180,441926366,0.0000
2024-04-26,165.5150,171.3400,164.7700,169.3000,168.5042,241302722,0.0000
2024-04-19,175.3600,176.6300,164.0750,165.0000,164.2244,309416498,0.0000
2024-04-12,169.0300,178.3600,167.1100,176.5500,175.7201,321898799,0.0000
2024-04-05,171.1900,171.9200,168.2302,169.5800,168.7828,233688457,0.0000
2024-03-28,170.5650,173.6000,169.4500,171.4800,170.6739,237622732,0.0000
2024-03-22,175.5700,178.6700,170.0600,172.2800,171.4701,361583938,0.0000
2024-03-15,172.9400,174.3800,170.2850,172.6200,171.8085,364748130,0.0000
2024-03-08,176.1500,176.9000,168.4900,170.7300,169.9274,393262265,0.0000
